,target_phishYN,prediction,rounded,acc_phish,acc_file
1037,0,0.04866782,0,0.910837438,0.835447727
1055,0,0.011817686,0,0.910837438,0.835447727
1056,0,0.06726992,0,0.910837438,0.835447727
1093,0,0.005058697,0,0.910837438,0.835447727
1108,0,0.018977694,0,0.910837438,0.835447727
1124,0,0.1301356,0,0.910837438,0.835447727
1127,0,0.10472271,0,0.910837438,0.835447727
1149,0,0.00531018,0,0.910837438,0.835447727
1162,0,0.002785604,0,0.910837438,0.835447727
1174,0,0.04346252,0,0.910837438,0.835447727
1180,0,0.06670744,0,0.910837438,0.835447727
1193,0,0.006695739,0,0.910837438,0.835447727
1207,0,0.006339189,0,0.910837438,0.835447727
1211,0,0.000468116,0,0.910837438,0.835447727
1213,0,0.00090458,0,0.910837438,0.835447727
1227,0,0.09982111,0,0.910837438,0.835447727
1233,0,0.011537422,0,0.910837438,0.835447727
1234,0,0.010560215,0,0.910837438,0.835447727
1238,0,0.01414674,0,0.910837438,0.835447727
1264,0,0.06865361,0,0.910837438,0.835447727
1271,0,0.04340422,0,0.910837438,0.835447727
1274,1,0.22673032,0,0.910837438,0.835447727
1276,0,0.045270134,0,0.910837438,0.835447727
1278,1,0.07113649,0,0.910837438,0.835447727
1280,0,0.001733989,0,0.910837438,0.835447727
1313,0,0.05791157,0,0.910837438,0.835447727
1341,0,0.09816927,0,0.910837438,0.835447727
1349,0,0.015354142,0,0.910837438,0.835447727
1365,0,0.039965272,0,0.910837438,0.835447727
1383,0,0.04335664,0,0.910837438,0.835447727
1387,0,0.26985678,0,0.910837438,0.835447727
1390,0,0.03771562,0,0.910837438,0.835447727
1408,0,0.010363989,0,0.910837438,0.835447727
1420,0,0.05319198,0,0.910837438,0.835447727
1440,0,0.04905408,0,0.910837438,0.835447727
1446,0,0.07391621,0,0.910837438,0.835447727
1449,0,0.046615772,0,0.910837438,0.835447727
1457,0,0.003654337,0,0.910837438,0.835447727
1472,0,0.07189817,0,0.910837438,0.835447727
1479,0,0.0395238,0,0.910837438,0.835447727
1481,0,0.003986335,0,0.910837438,0.835447727
1505,0,0.047004998,0,0.910837438,0.835447727
1530,0,0.00791651,0,0.910837438,0.835447727
1537,0,0.004551933,0,0.910837438,0.835447727
1551,0,0.1018936,0,0.910837438,0.835447727
1558,0,0.010883309,0,0.910837438,0.835447727
1567,0,0.016169036,0,0.910837438,0.835447727
1569,0,0.00493594,0,0.910837438,0.835447727
1615,0,0.03828675,0,0.910837438,0.835447727
1623,1,0.15981936,0,0.910837438,0.835447727
1629,0,0.20212741,0,0.910837438,0.835447727
1633,0,0.0583528,0,0.910837438,0.835447727
1642,0,0.06474018,0,0.910837438,0.835447727
1649,0,0.008283486,0,0.910837438,0.835447727
1652,1,0.07693271,0,0.910837438,0.835447727
1664,0,0.15442424,0,0.910837438,0.835447727
1678,0,0.00774273,0,0.910837438,0.835447727
1679,0,0.024527747,0,0.910837438,0.835447727
1697,0,0.120598696,0,0.910837438,0.835447727
1707,0,0.033981036,0,0.910837438,0.835447727
1725,0,0.001658763,0,0.910837438,0.835447727
1728,0,0.053403836,0,0.910837438,0.835447727
1729,1,0.105641514,0,0.910837438,0.835447727
1730,1,0.016861718,0,0.910837438,0.835447727
1732,0,0.03582787,0,0.910837438,0.835447727
1733,0,0.037009064,0,0.910837438,0.835447727
1737,0,0.002095163,0,0.910837438,0.835447727
1738,1,0.076678686,0,0.910837438,0.835447727
1760,0,0.020120744,0,0.910837438,0.835447727
1767,0,0.071780846,0,0.910837438,0.835447727
1768,0,0.14778152,0,0.910837438,0.835447727
1775,0,0.06344619,0,0.910837438,0.835447727
1784,0,0.10948816,0,0.910837438,0.835447727
1792,0,0.09340169,0,0.910837438,0.835447727
1802,0,0.1045165,0,0.910837438,0.835447727
1821,0,0.00681971,0,0.910837438,0.835447727
1827,0,0.005246942,0,0.910837438,0.835447727
1836,0,0.003059294,0,0.910837438,0.835447727
1842,0,0.002351704,0,0.910837438,0.835447727
1843,0,0.002346177,0,0.910837438,0.835447727
1848,0,0.001962446,0,0.910837438,0.835447727
1852,0,0.07188555,0,0.910837438,0.835447727
1855,0,0.008872743,0,0.910837438,0.835447727
1862,0,0.006845781,0,0.910837438,0.835447727
1904,0,0.000145837,0,0.910837438,0.835447727
1939,0,0.025793303,0,0.910837438,0.835447727
1941,0,0.008066874,0,0.910837438,0.835447727
1948,1,0.012855607,0,0.910837438,0.835447727
1967,0,0.007472372,0,0.910837438,0.835447727
1978,1,0.007837747,0,0.910837438,0.835447727
1986,1,0.11821697,0,0.910837438,0.835447727
2020,0,0.17324138,0,0.910837438,0.835447727
2023,1,0.12507847,0,0.910837438,0.835447727
2025,0,0.007117879,0,0.910837438,0.835447727
2027,0,0.06647797,0,0.910837438,0.835447727
2029,0,0.2684002,0,0.910837438,0.835447727
2044,0,0.012757416,0,0.910837438,0.835447727
2047,0,0.013570081,0,0.910837438,0.835447727
2055,0,0.0396047,0,0.910837438,0.835447727
2066,0,0.11007917,0,0.910837438,0.835447727
2070,0,0.02179384,0,0.910837438,0.835447727
2077,0,0.11193489,0,0.910837438,0.835447727
2085,0,0.010759004,0,0.910837438,0.835447727
2086,1,0.13090867,0,0.910837438,0.835447727
2091,0,0.14871028,0,0.910837438,0.835447727
2102,0,0.050393768,0,0.910837438,0.835447727
2113,0,0.027992608,0,0.910837438,0.835447727
2119,0,0.03592854,0,0.910837438,0.835447727
2123,0,0.09251327,0,0.910837438,0.835447727
2124,1,0.032706093,0,0.910837438,0.835447727
2125,1,0.0864545,0,0.910837438,0.835447727
2136,0,0.020796414,0,0.910837438,0.835447727
2143,0,0.1333815,0,0.910837438,0.835447727
2147,0,0.24306704,0,0.910837438,0.835447727
2149,0,0.1623904,0,0.910837438,0.835447727
2150,0,0.14498676,0,0.910837438,0.835447727
2152,0,0.009579117,0,0.910837438,0.835447727
2193,1,0.09943159,0,0.910837438,0.835447727
2203,0,0.1350609,0,0.910837438,0.835447727
2234,1,0.1066983,0,0.910837438,0.835447727
2235,0,0.011184173,0,0.910837438,0.835447727
2242,0,0.13149047,0,0.910837438,0.835447727
2244,1,0.16378728,0,0.910837438,0.835447727
2259,1,0.09216707,0,0.910837438,0.835447727
2272,0,0.004767282,0,0.910837438,0.835447727
2287,1,0.22761023,0,0.910837438,0.835447727
2301,0,0.037017964,0,0.910837438,0.835447727
2325,0,0.015578131,0,0.910837438,0.835447727
2336,0,0.25671616,0,0.910837438,0.835447727
2344,0,0.06756593,0,0.910837438,0.835447727
2372,0,0.0091057,0,0.910837438,0.835447727
2388,0,0.024865355,0,0.910837438,0.835447727
2391,0,0.024910405,0,0.910837438,0.835447727
2392,0,0.14951573,0,0.910837438,0.835447727
2410,0,0.28626877,0,0.910837438,0.835447727
2413,0,0.008695147,0,0.910837438,0.835447727
2420,0,0.017499594,0,0.910837438,0.835447727
2429,0,0.101105474,0,0.910837438,0.835447727
2442,0,0.000703973,0,0.910837438,0.835447727
2457,0,0.033233907,0,0.910837438,0.835447727
2477,0,0.008706029,0,0.910837438,0.835447727
2487,0,0.17761812,0,0.910837438,0.835447727
2502,0,0.100700766,0,0.910837438,0.835447727
2508,0,0.013449034,0,0.910837438,0.835447727
2519,0,0.11022808,0,0.910837438,0.835447727
2531,0,0.01101623,0,0.910837438,0.835447727
2541,0,0.006104938,0,0.910837438,0.835447727
2545,0,0.005109585,0,0.910837438,0.835447727
2559,0,0.24714784,0,0.910837438,0.835447727
2568,0,0.17524785,0,0.910837438,0.835447727
2582,0,0.12708558,0,0.910837438,0.835447727
2584,0,0.035204448,0,0.910837438,0.835447727
2589,0,0.07888224,0,0.910837438,0.835447727
2593,0,0.31663162,1,0.910837438,0.835447727
2595,0,0.030245097,0,0.910837438,0.835447727
2606,0,0.025189213,0,0.910837438,0.835447727
2615,0,0.24090284,0,0.910837438,0.835447727
2622,0,0.009104577,0,0.910837438,0.835447727
2624,0,0.22865579,0,0.910837438,0.835447727
2625,0,0.18391918,0,0.910837438,0.835447727
2633,0,0.32174352,1,0.910837438,0.835447727
2638,0,0.31224585,1,0.910837438,0.835447727
2645,0,0.08114401,0,0.910837438,0.835447727
2672,0,0.13149689,0,0.910837438,0.835447727
2684,1,0.3406168,1,0.910837438,0.835447727
2685,0,0.07488639,0,0.910837438,0.835447727
2686,0,0.19396006,0,0.910837438,0.835447727
2692,0,0.08335026,0,0.910837438,0.835447727
2718,0,0.023933306,0,0.910837438,0.835447727
2729,0,0.10183645,0,0.910837438,0.835447727
2742,0,0.050341036,0,0.910837438,0.835447727
2751,1,0.55730265,1,0.910837438,0.835447727
2761,0,0.21650171,0,0.910837438,0.835447727
2768,0,0.04490649,0,0.910837438,0.835447727
2772,0,0.1517193,0,0.910837438,0.835447727
2791,0,0.031777103,0,0.910837438,0.835447727
2800,0,0.26148403,0,0.910837438,0.835447727
2812,0,0.11983246,0,0.910837438,0.835447727
2813,0,0.027996127,0,0.910837438,0.835447727
2818,0,0.29112342,0,0.910837438,0.835447727
2827,0,0.2044513,0,0.910837438,0.835447727
2829,0,0.06872511,0,0.910837438,0.835447727
2834,0,0.06993523,0,0.910837438,0.835447727
2861,1,0.33752295,1,0.910837438,0.835447727
2863,0,0.33222666,1,0.910837438,0.835447727
2868,0,0.32727745,1,0.910837438,0.835447727
2871,0,0.040547688,0,0.910837438,0.835447727
2879,0,0.25868905,0,0.910837438,0.835447727
2908,1,0.019484509,0,0.910837438,0.835447727
2916,0,0.017185478,0,0.910837438,0.835447727
2930,0,0.053723607,0,0.910837438,0.835447727
2945,0,0.18446873,0,0.910837438,0.835447727
2952,1,0.064239174,0,0.910837438,0.835447727
2957,0,0.31309593,1,0.910837438,0.835447727
2960,0,0.009840072,0,0.910837438,0.835447727
2972,0,0.014972248,0,0.910837438,0.835447727
2988,0,0.011062303,0,0.910837438,0.835447727
2996,1,0.53051615,1,0.910837438,0.835447727
3007,0,0.18012267,0,0.910837438,0.835447727
3008,0,0.28547448,0,0.910837438,0.835447727
3009,0,0.38792893,1,0.910837438,0.835447727
3010,0,0.035439935,0,0.910837438,0.835447727
3013,0,0.04525439,0,0.910837438,0.835447727
3019,0,0.053457532,0,0.910837438,0.835447727
3040,0,0.011565135,0,0.910837438,0.835447727
3083,0,0.034173857,0,0.910837438,0.835447727
3099,0,0.059909604,0,0.910837438,0.835447727
3117,0,0.31586418,1,0.910837438,0.835447727
3120,0,0.100586995,0,0.910837438,0.835447727
3131,0,0.050054207,0,0.910837438,0.835447727
3142,0,0.032640636,0,0.910837438,0.835447727
3152,0,0.19034925,0,0.910837438,0.835447727
3157,0,0.052735373,0,0.910837438,0.835447727
3174,1,0.027194103,0,0.910837438,0.835447727
3177,0,0.19927743,0,0.910837438,0.835447727
3184,0,0.14828272,0,0.910837438,0.835447727
3191,0,0.026239505,0,0.910837438,0.835447727
3204,0,0,0,0.910837438,0.835447727
3209,0,0,0,0.910837438,0.835447727
3221,0,0,0,0.910837438,0.835447727
3224,1,0,0,0.910837438,0.835447727
3230,0,0,0,0.910837438,0.835447727
3236,0,1.79E-32,0,0.910837438,0.835447727
3249,0,3.45E-19,0,0.910837438,0.835447727
3260,0,9.27E-19,0,0.910837438,0.835447727
3275,0,0,0,0.910837438,0.835447727
3312,0,0.000874824,0,0.910837438,0.835447727
3317,0,0.000805501,0,0.910837438,0.835447727
3323,0,0.001101355,0,0.910837438,0.835447727
3334,0,0.001304719,0,0.910837438,0.835447727
3337,0,0.000766843,0,0.910837438,0.835447727
3369,0,0,0,0.910837438,0.835447727
3372,0,0,0,0.910837438,0.835447727
3374,0,0.002740427,0,0.910837438,0.835447727
3419,0,0.003181346,0,0.910837438,0.835447727
3438,1,0.011789725,0,0.910837438,0.835447727
3439,0,0,0,0.910837438,0.835447727
3448,0,0,0,0.910837438,0.835447727
3449,0,3.90E-06,0,0.910837438,0.835447727
3472,1,0.005616581,0,0.910837438,0.835447727
3512,0,0,0,0.910837438,0.835447727
3517,0,0.001285011,0,0.910837438,0.835447727
3542,0,0.006312824,0,0.910837438,0.835447727
3554,0,0,0,0.910837438,0.835447727
3557,0,5.35E-14,0,0.910837438,0.835447727
3562,0,0,0,0.910837438,0.835447727
3580,0,0.000599308,0,0.910837438,0.835447727
3582,0,0.003731685,0,0.910837438,0.835447727
3585,0,0,0,0.910837438,0.835447727
3589,0,0.000565665,0,0.910837438,0.835447727
3593,0,0.004810104,0,0.910837438,0.835447727
3598,1,0.14404896,0,0.910837438,0.835447727
3612,0,0.001132214,0,0.910837438,0.835447727
3627,0,0,0,0.910837438,0.835447727
3629,0,0,0,0.910837438,0.835447727
3631,0,0,0,0.910837438,0.835447727
3669,1,0.030055884,0,0.910837438,0.835447727
3670,0,1.59E-06,0,0.910837438,0.835447727
3682,0,4.27E-25,0,0.910837438,0.835447727
3687,0,0,0,0.910837438,0.835447727
3690,0,0,0,0.910837438,0.835447727
3726,1,0.22290796,0,0.910837438,0.835447727
3734,0,0,0,0.910837438,0.835447727
3754,0,0.002886861,0,0.910837438,0.835447727
3772,0,0,0,0.910837438,0.835447727
3777,0,0,0,0.910837438,0.835447727
3780,0,0.007229399,0,0.910837438,0.835447727
3785,0,0.001140203,0,0.910837438,0.835447727
3803,0,4.47E-07,0,0.910837438,0.835447727
3826,0,0.019100532,0,0.910837438,0.835447727
3838,0,0,0,0.910837438,0.835447727
3863,0,1.01E-05,0,0.910837438,0.835447727
3875,0,0.002482833,0,0.910837438,0.835447727
3892,1,0.03074268,0,0.910837438,0.835447727
3899,0,0,0,0.910837438,0.835447727
3905,0,0.001382233,0,0.910837438,0.835447727
3912,0,0,0,0.910837438,0.835447727
3915,0,0,0,0.910837438,0.835447727
3919,0,0,0,0.910837438,0.835447727
3932,0,0,0,0.910837438,0.835447727
3949,0,0,0,0.910837438,0.835447727
3950,0,0,0,0.910837438,0.835447727
3959,0,0,0,0.910837438,0.835447727
3966,0,0,0,0.910837438,0.835447727
3969,0,0,0,0.910837438,0.835447727
3974,0,0,0,0.910837438,0.835447727
3981,0,0,0,0.910837438,0.835447727
3982,0,0,0,0.910837438,0.835447727
3985,0,0,0,0.910837438,0.835447727
3990,0,0.003178452,0,0.910837438,0.835447727
4004,0,0,0,0.910837438,0.835447727
4011,1,0.00868473,0,0.910837438,0.835447727
4018,0,0,0,0.910837438,0.835447727
4023,0,0.010745828,0,0.910837438,0.835447727
4042,0,0,0,0.910837438,0.835447727
4057,0,0.001361944,0,0.910837438,0.835447727
4065,0,0.00723375,0,0.910837438,0.835447727
4066,0,0.006108434,0,0.910837438,0.835447727
4076,0,0,0,0.910837438,0.835447727
4081,0,0,0,0.910837438,0.835447727
4090,0,0,0,0.910837438,0.835447727
4108,0,0.01816659,0,0.910837438,0.835447727
4112,0,0.00087495,0,0.910837438,0.835447727
4114,0,0,0,0.910837438,0.835447727
4117,0,0,0,0.910837438,0.835447727
4125,0,0,0,0.910837438,0.835447727
4126,0,0.000461597,0,0.910837438,0.835447727
4154,0,0.024933835,0,0.910837438,0.835447727
4160,0,0.002975209,0,0.910837438,0.835447727
4162,0,0.003354523,0,0.910837438,0.835447727
4202,0,0,0,0.910837438,0.835447727
4209,0,0,0,0.910837438,0.835447727
4212,0,0.034505274,0,0.910837438,0.835447727
4220,0,1.29E-12,0,0.910837438,0.835447727
4233,0,0,0,0.910837438,0.835447727
4234,0,0,0,0.910837438,0.835447727
4243,0,0,0,0.910837438,0.835447727
4254,0,0,0,0.910837438,0.835447727
4267,0,0.000587635,0,0.910837438,0.835447727
4271,0,0.000109967,0,0.910837438,0.835447727
4281,0,0,0,0.910837438,0.835447727
4282,0,0,0,0.910837438,0.835447727
4298,0,0,0,0.910837438,0.835447727
4304,0,0.008823632,0,0.910837438,0.835447727
4310,0,0.00845088,0,0.910837438,0.835447727
4313,0,0.007209709,0,0.910837438,0.835447727
4316,0,0,0,0.910837438,0.835447727
4323,0,0,0,0.910837438,0.835447727
4328,0,0,0,0.910837438,0.835447727
4329,0,0,0,0.910837438,0.835447727
4338,0,0,0,0.910837438,0.835447727
4357,0,0.009012104,0,0.910837438,0.835447727
4372,0,0.044900972,0,0.910837438,0.835447727
4394,0,0.002946636,0,0.910837438,0.835447727
4396,1,0.016477091,0,0.910837438,0.835447727
4429,0,0.039324217,0,0.910837438,0.835447727
4433,0,0,0,0.910837438,0.835447727
4441,0,0,0,0.910837438,0.835447727
4448,0,0,0,0.910837438,0.835447727
4453,0,0,0,0.910837438,0.835447727
4457,0,0,0,0.910837438,0.835447727
4458,0,1.26E-13,0,0.910837438,0.835447727
4466,0,0.04365208,0,0.910837438,0.835447727
4470,0,0.000484991,0,0.910837438,0.835447727
4475,0,0.001410363,0,0.910837438,0.835447727
4481,0,7.55E-24,0,0.910837438,0.835447727
4484,0,7.55E-24,0,0.910837438,0.835447727
4507,0,0.027548218,0,0.910837438,0.835447727
4534,0,9.12E-10,0,0.910837438,0.835447727
4541,0,0,0,0.910837438,0.835447727
4557,1,9.17E-17,0,0.910837438,0.835447727
4564,0,0.009004037,0,0.910837438,0.835447727
4571,0,0,0,0.910837438,0.835447727
4573,0,0,0,0.910837438,0.835447727
4575,0,0,0,0.910837438,0.835447727
4582,0,0.00251771,0,0.910837438,0.835447727
4610,0,3.37E-26,0,0.910837438,0.835447727
4614,0,0,0,0.910837438,0.835447727
4619,0,0,0,0.910837438,0.835447727
4620,0,0.004286374,0,0.910837438,0.835447727
4623,0,1.31E-31,0,0.910837438,0.835447727
4626,1,7.22E-07,0,0.910837438,0.835447727
4628,0,0.000679965,0,0.910837438,0.835447727
4629,0,0,0,0.910837438,0.835447727
4631,0,0,0,0.910837438,0.835447727
4637,1,0,0,0.910837438,0.835447727
4648,0,0,0,0.910837438,0.835447727
4650,0,0,0,0.910837438,0.835447727
4653,0,0,0,0.910837438,0.835447727
4679,0,1.04E-37,0,0.910837438,0.835447727
4680,0,7.44E-17,0,0.910837438,0.835447727
4697,0,0.025220666,0,0.910837438,0.835447727
4716,0,0,0,0.910837438,0.835447727
4719,0,0.000183917,0,0.910837438,0.835447727
4722,0,0.013976716,0,0.910837438,0.835447727
4737,0,0.015105872,0,0.910837438,0.835447727
4739,0,0,0,0.910837438,0.835447727
4750,0,0,0,0.910837438,0.835447727
4751,0,0,0,0.910837438,0.835447727
4752,0,0.000148077,0,0.910837438,0.835447727
4756,0,0.007164501,0,0.910837438,0.835447727
4761,0,0,0,0.910837438,0.835447727
4769,0,0,0,0.910837438,0.835447727
4799,0,0.009820666,0,0.910837438,0.835447727
4801,0,0.005856428,0,0.910837438,0.835447727
4807,0,0.007435735,0,0.910837438,0.835447727
4812,0,0.004821594,0,0.910837438,0.835447727
4853,0,0,0,0.910837438,0.835447727
4861,0,0,0,0.910837438,0.835447727
4862,0,0,0,0.910837438,0.835447727
4880,0,0,0,0.910837438,0.835447727
4881,0,0,0,0.910837438,0.835447727
4896,0,0,0,0.910837438,0.835447727
4902,0,0,0,0.910837438,0.835447727
4909,0,0,0,0.910837438,0.835447727
4925,0,0.010586374,0,0.910837438,0.835447727
4930,0,0,0,0.910837438,0.835447727
4934,0,0.073920995,0,0.910837438,0.835447727
4952,0,0.006376987,0,0.910837438,0.835447727
4965,0,0.000514292,0,0.910837438,0.835447727
4969,1,0.000197358,0,0.910837438,0.835447727
4970,0,0,0,0.910837438,0.835447727
4974,1,0.022221988,0,0.910837438,0.835447727
4985,1,0.005453442,0,0.910837438,0.835447727
4994,0,0.001218756,0,0.910837438,0.835447727
4995,0,8.44E-06,0,0.910837438,0.835447727
5006,0,0,0,0.910837438,0.835447727
5011,0,0.001671169,0,0.910837438,0.835447727
5030,0,1.01E-27,0,0.910837438,0.835447727
5031,0,2.86E-28,0,0.910837438,0.835447727
5038,0,2.32E-12,0,0.910837438,0.835447727
5043,0,0.011317792,0,0.910837438,0.835447727
5059,0,9.22E-06,0,0.910837438,0.835447727
5062,0,0,0,0.910837438,0.835447727
5069,0,0,0,0.910837438,0.835447727
5071,0,0,0,0.910837438,0.835447727
5074,0,0,0,0.910837438,0.835447727
5075,0,0.014221638,0,0.910837438,0.835447727
5092,0,0.001082826,0,0.910837438,0.835447727
5113,0,0,0,0.910837438,0.835447727
5127,0,1.70E-11,0,0.910837438,0.835447727
5130,0,0,0,0.910837438,0.835447727
5135,0,0.039006643,0,0.910837438,0.835447727
5142,1,0.090360306,0,0.910837438,0.835447727
5146,0,2.09E-07,0,0.910837438,0.835447727
5147,0,0,0,0.910837438,0.835447727
5153,0,0,0,0.910837438,0.835447727
5166,0,0,0,0.910837438,0.835447727
5173,0,0.000100078,0,0.910837438,0.835447727
5174,0,8.38E-05,0,0.910837438,0.835447727
5178,0,0.012200654,0,0.910837438,0.835447727
5180,0,0,0,0.910837438,0.835447727
5181,0,0,0,0.910837438,0.835447727
5192,0,0,0,0.910837438,0.835447727
5197,1,0.0007976,0,0.910837438,0.835447727
5198,0,0,0,0.910837438,0.835447727
5203,0,0.06496334,0,0.910837438,0.835447727
5204,0,0,0,0.910837438,0.835447727
5207,0,3.96E-25,0,0.910837438,0.835447727
5208,0,0.11530766,0,0.910837438,0.835447727
5227,0,1.09E-14,0,0.910837438,0.835447727
5231,0,0.1207699,0,0.910837438,0.835447727
5232,0,0.07457318,0,0.910837438,0.835447727
5248,0,0,0,0.910837438,0.835447727
5250,0,0,0,0.910837438,0.835447727
5254,0,0.079588965,0,0.910837438,0.835447727
5267,0,0,0,0.910837438,0.835447727
5309,0,0,0,0.910837438,0.835447727
5311,1,0.01199276,0,0.910837438,0.835447727
5316,0,6.80E-06,0,0.910837438,0.835447727
5318,0,0.002649181,0,0.910837438,0.835447727
5323,0,0.000246681,0,0.910837438,0.835447727
5331,0,0.024995493,0,0.910837438,0.835447727
5334,0,0.024995493,0,0.910837438,0.835447727
5343,0,0.02390305,0,0.910837438,0.835447727
5345,0,6.70E-05,0,0.910837438,0.835447727
5353,0,0.001155494,0,0.910837438,0.835447727
5357,0,0.027200013,0,0.910837438,0.835447727
5358,0,0.038514666,0,0.910837438,0.835447727
5374,0,7.06E-07,0,0.910837438,0.835447727
5391,0,0.010186226,0,0.910837438,0.835447727
5406,0,0.003326664,0,0.910837438,0.835447727
5413,0,0.000378796,0,0.910837438,0.835447727
5424,0,0,0,0.910837438,0.835447727
5430,0,0,0,0.910837438,0.835447727
5475,0,0,0,0.910837438,0.835447727
5488,1,0.02575753,0,0.910837438,0.835447727
5489,0,6.80E-07,0,0.910837438,0.835447727
5490,1,0.00370797,0,0.910837438,0.835447727
5492,0,0.039068483,0,0.910837438,0.835447727
5493,0,0,0,0.910837438,0.835447727
5505,0,0.049298555,0,0.910837438,0.835447727
5508,0,0.001135824,0,0.910837438,0.835447727
5509,0,0.07360838,0,0.910837438,0.835447727
5521,1,0.117511,0,0.910837438,0.835447727
5525,0,0,0,0.910837438,0.835447727
5558,0,0.020019207,0,0.910837438,0.835447727
5565,0,0,0,0.910837438,0.835447727
5570,0,0,0,0.910837438,0.835447727
5586,0,0,0,0.910837438,0.835447727
